,Phi[deg],Theta[deg],v,x,y,m,x1,y1
164,164,-90,-31.9707,-0.718572579,-0.531867919,-1,-0.275637356,0.961261696
165,165,-90,-25.9054,0.059305,-0.892027439,-1,-0.258819045,0.965925826
166,166,-90,-23.1613,0.782657836,-0.432061046,-1,-0.241921896,0.970295726
167,167,-90,-22.0438,0.786438667,0.42514028,-1,-0.224951054,0.974370065
168,168,-90,-22.155,0.067171415,0.891469593,-1,-0.207911691,0.978147601
169,169,-90,-23.5233,-0.713852926,0.538185873,-1,-0.190808995,0.981627183
170,170,-90,-26.6748,-0.838564179,-0.309903457,-1,-0.173648178,0.984807753
171,171,-90,-34.1769,-0.192303393,-0.873068978,-1,-0.156434465,0.987688341
172,172,-90,-39.1939,0.630760246,-0.633538907,-1,-0.139173101,0.990268069
173,173,-90,-27.4634,0.873905823,0.188463913,-1,-0.121869343,0.992546152
174,174,-90,-22.8422,0.313586417,0.837193881,-1,-0.104528463,0.994521895
175,175,-90,-20.146,-0.535042895,0.716211655,-1,-0.087155743,0.996194698
176,176,-90,-18.4239,-0.891756237,-0.063252263,-1,-0.069756474,0.99756405
177,177,-90,-17.3137,-0.428593007,-0.784562342,-1,-0.052335956,0.998629535
178,178,-90,-16.6352,0.428616657,-0.784549422,-1,-0.034899497,0.999390827
179,179,-90,-16.2889,0.891758143,-0.063225382,-1,-0.017452406,0.999847695
180,180,-90,-16.2229,0.535021305,0.716227783,-1,-1.22E-16,1
181,0,-89,-16.7434,-0.860069406,0,-0.999847695,0,-0.999847695
182,1,-89,-16.966,-0.464697483,-0.72372345,-0.999847695,-0.017449748,-0.999695414
183,2,-89,-17.4697,0.357915162,-0.782058898,-0.999847695,-0.034894181,-0.999238615
184,3,-89,-18.3072,0.851462258,-0.121373001,-0.999847695,-0.052327985,-0.998477439
185,4,-89,-19.5783,0.562178881,0.650902672,-0.999847695,-0.069745849,-0.997412116
186,5,-89,-21.4639,-0.243969167,0.824741431,-0.999847695,-0.087142469,-0.996042973
187,6,-89,-24.3262,-0.825813088,0.240316722,-0.999847695,-0.104512543,-0.994370425
188,7,-89,-29.115,-0.648408264,-0.565054074,-0.999847695,-0.121850782,-0.992394982
189,8,-89,-40.9972,0.125140128,-0.850916759,-0.999847695,-0.139151904,-0.990117246
190,9,-89,-36.2084,0.783635263,-0.354450501,-0.999847695,-0.156410639,-0.987537911
191,10,-89,-28.8796,0.721659751,0.467895914,-0.999847695,-0.17362173,-0.984657762
192,11,-89,-25.9132,-0.003806407,0.860060983,-0.999847695,-0.190779934,-0.981477677
193,12,-89,-24.7346,-0.725772973,0.461489951,-0.999847695,-0.207880025,-0.977998624
194,13,-89,-24.8149,-0.780467214,-0.361372814,-0.999847695,-0.224916793,-0.974221664
195,14,-89,-26.1226,-0.117603498,-0.85199108,-0.999847695,-0.24188505,-0.970147946
196,15,-89,-29.0499,0.653384332,-0.559292676,-0.999847695,-0.258779626,-0.965778711
197,16,-89,-35.2776,0.82365362,0.247616834,-0.999847695,-0.275595375,-0.961115291
198,17,-89,-53.5721,0.236659569,0.82686857,-0.999847695,-0.292327175,-0.956159106
199,18,-89,-33.9779,-0.567918199,0.645901155,-0.999847695,-0.30896993,-0.950911666
200,19,-89,-29.3129,-0.850354593,-0.128904803,-0.999847695,-0.325518569,-0.945374569
201,20,-89,-27.2874,-0.350978896,-0.785196279,-0.999847695,-0.341968052,-0.939549501
202,21,-89,-26.6911,0.471085179,-0.719581918,-0.999847695,-0.358313368,-0.933438238
203,22,-89,-27.2161,0.860035714,0.00761274,-0.999847695,-0.374549539,-0.92704264
204,23,-89,-28.9093,0.458273379,0.72780828,-0.999847695,-0.390671618,-0.920364656
205,24,-89,-32.2455,-0.364823387,0.778860244,-0.999847695,-0.406674695,-0.91340632
206,25,-89,-39.1506,-0.852503213,0.113831691,-0.999847695,-0.422553895,-0.906169752
207,26,-89,-54.0857,-0.556395517,-0.655853193,-0.999847695,-0.438304381,-0.898657156
208,27,-89,-38.7395,0.251259652,-0.822549676,-0.999847695,-0.453921355,-0.89087082
209,28,-89,-36.9927,0.827907855,-0.23299778,-0.999847695,-0.46940006,-0.882813116
210,29,-89,-44.4213,0.643381395,0.5707712,-0.999847695,-0.484735781,-0.874486498
211,30,-89,-36.0223,-0.132666953,0.849775772,-0.999847695,-0.499923848,-0.865893504
212,31,-89,-25.5712,-0.786741916,0.347500418,-0.999847695,-0.514959632,-0.85703675
213,32,-89,-19.7122,-0.71748999,-0.474265218,-0.999847695,-0.529838555,-0.847918934
214,33,-89,-15.7108,0.011418924,-0.859993599,-0.999847695,-0.544556084,-0.838542834
215,34,-89,-12.8699,0.729829332,-0.455047831,-0.999847695,-0.559107736,-0.828911306
216,35,-89,-10.9097,0.777238018,0.368266814,-0.999847695,-0.573489078,-0.819027283
217,36,-89,-9.70305,0.110057655,0.852998649,-0.999847695,-0.58769573,-0.808893777
218,37,-89,-9.20115,-0.658309209,0.55348746,-0.999847695,-0.601723364,-0.798513874
219,38,-89,-9.41195,-0.821429622,-0.254897547,-0.999847695,-0.615567707,-0.787890736
220,39,-89,-10.403,-0.229331428,-0.828930925,-0.999847695,-0.629224543,-0.777027598
221,40,-89,-12.3328,0.573613022,-0.640849033,-0.999847695,-0.64268971,-0.765927771
222,41,-89,-15.5498,0.849180306,0.136426505,-0.999847695,-0.655959108,-0.754594634
223,42,-89,-20.9697,0.344015132,0.788272143,-0.999847695,-0.669028695,-0.743031641
224,43,-89,-33.061,-0.477435967,0.715384009,-0.999847695,-0.681894488,-0.731242313
225,44,-89,-32.6728,-0.85993464,-0.015224884,-0.999847695,-0.694552571,-0.719230241
226,45,-89,-28.1287,-0.451813371,-0.731836089,-0.999847695,-0.706999085,-0.706999085
227,46,-89,-32.7205,0.371703028,-0.775600568,-0.999847695,-0.719230241,-0.694552571
228,47,-89,-33.1564,0.853477377,-0.106281462,-0.999847695,-0.731242313,-0.681894488
229,48,-89,-21.113,0.550568562,0.66075233,-0.999847695,-0.743031641,-0.669028695
230,49,-89,-15.7412,-0.25853045,0.820293477,-0.999847695,-0.754594634,-0.655959108
231,50,-89,-12.5728,-0.829937759,0.225660585,-0.999847695,-0.765927771,-0.64268971
232,51,-89,-10.692,-0.638304119,-0.576443609,-0.999847695,-0.777027598,-0.629224543
233,52,-89,-9.75064,0.140183384,-0.848568207,-0.999847695,-0.787890736,-0.615567707
234,53,-89,-9.59032,0.78978693,-0.340523109,-0.999847695,-0.798513874,-0.601723364
235,54,-89,-10.1436,0.713264015,0.480597365,-0.999847695,-0.808893777,-0.58769573
236,55,-89,-11.4028,-0.019030546,0.859858838,-0.999847695,-0.819027283,-0.573489078
237,56,-89,-13.4166,-0.733828511,0.44857006,-0.999847695,-0.828911306,-0.559107736
238,57,-89,-16.3125,-0.773947927,-0.375131962,-0.999847695,-0.838542834,-0.544556084
239,58,-89,-20.3702,-0.102503188,-0.853939388,-0.999847695,-0.847918934,-0.529838555
240,59,-89,-26.2866,0.663182509,-0.547638879,-0.999847695,-0.85703675,-0.514959632
241,60,-89,-36.7955,0.819141266,0.26215829,-0.999847695,-0.865893504,-0.499923848
242,61,-89,-45.2516,0.221985321,0.830928336,-0.999847695,-0.874486498,-0.484735781
243,62,-89,-37.8772,-0.579262905,0.635746703,-0.999847695,-0.882813116,-0.46940006
244,63,-89,-39.6726,-0.847939487,-0.143937518,-0.999847695,-0.89087082,-0.453921355
245,64,-89,-55.0575,-0.337024415,-0.791286248,-0.999847695,-0.898657156,-0.438304381
246,65,-89,-40.1478,0.48374935,-0.711130051,-0.999847695,-0.906169752,-0.422553895
247,66,-89,-33.2519,0.859766193,0.022835835,-0.999847695,-0.91340632,-0.406674695
248,67,-89,-29.9093,0.445317964,0.73580656,-0.999847695,-0.920364656,-0.390671618
249,68,-89,-28.1969,-0.378553548,0.772280127,-0.999847695,-0.92704264,-0.374549539
250,69,-89,-27.645,-0.854384674,0.098722907,-0.999847695,-0.933438238,-0.358313368
251,70,-89,-28.2115,-0.544698471,-0.665599699,-0.999847695,-0.939549501,-0.341968052
252,71,-89,-30.2081,0.265780994,-0.817973011,-0.999847695,-0.945374569,-0.325518569
253,72,-89,-34.8471,0.831902639,-0.218305709,-0.999847695,-0.950911666,-0.30896993
254,73,-89,-54.4188,0.633176834,0.582070855,-0.999847695,-0.956159106,-0.292327175
255,74,-89,-36.1052,-0.147688832,0.847294159,-0.999847695,-0.961115291,-0.275595375
256,75,-89,-29.8612,-0.792770067,0.333519121,-0.999847695,-0.965778711,-0.258779626
257,76,-89,-26.9201,-0.708982158,-0.486891859,-0.999847695,-0.970147946,-0.24188505
258,77,-89,-25.6004,0.026640677,-0.859656709,-0.999847695,-0.974221664,-0.224916793
259,78,-89,-25.5097,0.737770197,-0.442057145,-0.999847695,-0.977998624,-0.207880025
260,79,-89,-26.6793,0.7705972,0.381967719,-0.999847695,-0.981477677,-0.190779934
261,80,-89,-29.638,0.094940691,0.854813224,-0.999847695,-0.984657762,-0.17362173
262,81,-89,-36.9604,-0.668003851,0.541747393,-0.999847695,-0.987537911,-0.156410639
263,82,-89,-41.7443,-0.816788733,-0.269398493,-0.999847695,-0.990117246,-0.139151904
264,83,-89,-29.8589,-0.214621821,-0.832860647,-0.999847695,-0.992394982,-0.121850782
265,84,-89,-25.0689,0.584867404,-0.630594563,-0.999847695,-0.994370425,-0.104512543
266,85,-89,-22.2076,0.846632235,0.151437254,-0.999847695,-0.996042973,-0.087142469
267,86,-89,-20.3257,0.330007294,0.794238358,-0.999847695,-0.997412116,-0.069745849
268,87,-89,-19.0608,-0.490024831,0.706820378,-0.999847695,-0.998477439,-0.052327985
269,88,-89,-18.2326,-0.859530386,-0.030444997,-0.999847695,-0.999238615,-0.034894181
270,89,-89,-17.7413,-0.438787668,-0.739719383,-0.999847695,-0.999695414,-0.017449748
271,90,-89,-17.5345,0.385374409,-0.768899179,-0.999847695,-0.999847695,-6.12E-17
272,91,-89,-17.5952,0.855225031,-0.091156616,-0.999847695,-0.999695414,0.017449748
273,92,-89,-17.9391,0.538785704,0.670394919,-0.999847695,-0.999238615,0.034894181
274,93,-89,-18.6177,-0.273010715,0.815588458,-0.999847695,-0.998477439,0.052327985
275,94,-89,-19.7294,-0.833802341,0.210933729,-0.999847695,-0.997412116,0.069745849
276,95,-89,-21.4537,-0.627999941,-0.587652497,-0.999847695,-0.996042973,0.087142469
277,96,-89,-24.1517,0.155182709,-0.845953728,-0.999847695,-0.994370425,0.104512543
278,97,-89,-28.7721,0.795691092,-0.326489003,-0.999847695,-0.992394982,0.121850782
279,98,-89,-40.4808,0.704644754,0.493148206,-0.999847695,-0.990117246,0.139151904
280,99,-89,-35.5125,-0.034248721,0.859387228,-0.999847695,-0.987537911,0.156410639
281,100,-89,-27.9976,-0.74165408,0.435509596,-0.999847695,-0.984657762,0.17362173
